id,value,feed_id,created_at,lat,lon,ele
0DK24JEE31HA9S85MJPVS1DT3A,837,676092,2017-05-15 20:05:23 UTC,,,
0DK24KSG3NG0SZHEEB8PX4JRWR,841,676092,2017-05-15 20:07:45 UTC,,,
0DK24P05BP62JZHW0N3EJ9KGBN,841,676092,2017-05-15 20:11:36 UTC,,,
0DK24PFDKZ75EF390YTMGE321K,837,676092,2017-05-15 20:12:26 UTC,,,
0DK24T6N4Z6YYB2XQEAMSDHRAZ,844,676092,2017-05-15 20:18:57 UTC,,,
0DK24T9PSEMMSCJDSK114KZ44Q,844,676092,2017-05-15 20:19:07 UTC,,,
0DK24TCRBQX9NQ8EMZ2J4E5AQB,844,676092,2017-05-15 20:19:17 UTC,,,
0DK24TFT1QCH0X2V947XNFWT1J,844,676092,2017-05-15 20:19:27 UTC,,,
0DK24TJVPNB9CWFQENGGX4W19Z,844,676092,2017-05-15 20:19:37 UTC,,,
0DK24TNXBV6SJ6QG4RRHDJSGHR,840,676092,2017-05-15 20:19:47 UTC,,,
0DK24TRZ0TCMB19HCNRBAEV491,843,676092,2017-05-15 20:19:57 UTC,,,
0DK24TW0NXVG63J5EVNH7BAK2Q,842,676092,2017-05-15 20:20:07 UTC,,,
0DK24TZ2ASAEKW0ZZH60XKM9XT,843,676092,2017-05-15 20:20:17 UTC,,,
0DK24V23YMAZ6FWB4CY3AYAFJV,843,676092,2017-05-15 20:20:27 UTC,,,
0DK24V55N6J3K56R68PKWBQX5R,840,676092,2017-05-15 20:20:37 UTC,,,
0DK24V879BEBYP871KN93161NW,838,676092,2017-05-15 20:20:47 UTC,,,
0DK24VB8Z1ES6W3N1XQF2BD1GR,844,676092,2017-05-15 20:20:57 UTC,,,
0DK24VEAKPQMP41X4ETS35SVPB,843,676092,2017-05-15 20:21:07 UTC,,,
0DK24VHC7W8BBV46B1X5TCRH5S,839,676092,2017-05-15 20:21:17 UTC,,,
0DK24VMDXYTNGZXY94N398ETDY,842,676092,2017-05-15 20:21:27 UTC,,,
0DK24VQFKAWXZ089HMB2X6ZMBM,847,676092,2017-05-15 20:21:37 UTC,,,
0DK24VTH7F1C39B07WCB40J3V9,849,676092,2017-05-15 20:21:47 UTC,,,
0DK24VXJWTJHWGR86YVP8RJD2J,853,676092,2017-05-15 20:21:57 UTC,,,
0DK24W0MJ3JP1RBHX06R3NVS1S,846,676092,2017-05-15 20:22:07 UTC,,,
0DK24W3P6R4ZCKF9ZB8WRFQSQX,848,676092,2017-05-15 20:22:17 UTC,,,
0DK24W6QW1XKD55DH9K87W945F,849,676092,2017-05-15 20:22:27 UTC,,,
0DK24W9SJNE36CHBST80C55K8W,849,676092,2017-05-15 20:22:37 UTC,,,
0DK24WCV60P504XP908KAFQGCZ,850,676092,2017-05-15 20:22:47 UTC,,,
0DK24WFWTKGMJYQDZYVY40XB5Q,845,676092,2017-05-15 20:22:57 UTC,,,
0DK24WJYET0NAKM6M2JTQHZFQ0,844,676092,2017-05-15 20:23:07 UTC,,,
0DK24WP03NQF0JKWZ5FSNQGXTP,848,676092,2017-05-15 20:23:17 UTC,,,
0DK24WS1S0P5PRANA6WJV1E5FE,849,676092,2017-05-15 20:23:27 UTC,,,
0DK24WW3DZFK8BGS5JNRZ1F2JA,846,676092,2017-05-15 20:23:37 UTC,,,
0DK24WZ53DDT9WRCPTENRCQCXJ,848,676092,2017-05-15 20:23:47 UTC,,,
0DK24X26RA0JYNSZDPBJ8426YF,848,676092,2017-05-15 20:23:57 UTC,,,
0DK24X58FB3406BH0MX8NXBWY6,848,676092,2017-05-15 20:24:07 UTC,,,
0DK24X8A2H1F114XVTH2JTWSJV,857,676092,2017-05-15 20:24:17 UTC,,,
0DK24XBBQ8A01YFVT47F6ED60F,855,676092,2017-05-15 20:24:27 UTC,,,
0DK24XEDBQ1J6WHG6KKH1CJ5Q6,850,676092,2017-05-15 20:24:37 UTC,,,
0DK24XHF1TXET4YSGEF4GV3RRF,845,676092,2017-05-15 20:24:47 UTC,,,
0DK24XMHEJE33W55WZGXY3DKSD,849,676092,2017-05-15 20:24:57 UTC,,,
0DK24XQJB7TD8QMK1WPPAMJ2CT,847,676092,2017-05-15 20:25:07 UTC,,,
0DK24XTM0SHKNHQJAMN4ZMJZTJ,848,676092,2017-05-15 20:25:17 UTC,,,
0DK24XXNN93W814Z0YZV18YGTM,848,676092,2017-05-15 20:25:27 UTC,,,
0DK24Y0Q9RKDBNA23G6CJHQZPE,845,676092,2017-05-15 20:25:37 UTC,,,
